country,date,Renewable Energy Consumption (TJ)
BES Islands,2015,112.7886
Nauru,2015,0.32988
Niue,2015,16.63123
Wallis and Futuna,2015,0.0
Caucasian and Central Asia,2015,
Caucasus and Central Asia,2015,
Eastern Asia (including Japan),2015,
Eastern Asia (not including Japan),2015,
Eastern Europe,2015,
Europe,2015,
High income,2015,
High income: nonOECD,2015,
High income: OECD,2015,
Latin America and Caribbean,2015,
Low & middle income,2015,
Low income,2015,
Lower middle income,2015,
Middle income,2015,
Northern America,2015,
Not classified,2015,
Nothern America,2015,
Oceania,2015,
Oceania (not including Australia and New Zealand),2015,
South Eastern Asia,2015,
Southern Asia,2015,
Sub-Saharan Africa,2015,
Upper middle income,2015,
Western Asia,2015,
World,2015,
Afghanistan,2015,25134.53
Albania,2015,31555.45
Algeria,2015,833.6698
American Samoa,2015,4.968064
Andorra,2015,1642.52
Angola,2015,243771.1
Anguilla,2015,1.827
Antigua and Barbuda,2015,0.0
Argentina,2015,239470.6
Armenia,2015,13445.59
Aruba,2015,437.772
Australia,2015,296838.1
Austria,2015,362355.8
Azerbaijan,2015,7681.284
"Bahamas, The",2015,310.333
Bahrain,2015,0.0
Bangladesh,2015,386058.6
Barbados,2015,315.0794
Belarus,2015,44549.43
Belgium,2015,128345.2
Belize,2015,4279.87
Benin,2015,76473.18
Bermuda,2015,123.3681
Bhutan,2015,54615.38
Bolivia,2015,48839.15
Bosnia and Herzegovina,2015,73353.16
Botswana,2015,23155.78
Brazil,2015,3887176.0
British Virgin Islands,2015,18.58448
Brunei Darussalam,2015,5.814209
Bulgaria,2015,69034.96
Burkina Faso,2015,108923.9
Burundi,2015,49456.45
Cambodia,2015,159807.0
Cameroon,2015,217574.9
Canada,2015,1587094.0
Cape Verde,2015,1727.543
Cayman Islands,2015,0.0
Central African Republic,2015,13517.51
Chad,2015,59316.84
Channel Islands,2015,0.0
Chile,2015,259606.8
China,2015,9084482.0
Colombia,2015,251833.9
Comoros,2015,1607.804
"Congo, Dem. Rep.",2015,862513.8
"Congo, Rep.",2015,53145.05
Cook Islands,2015,0.0
Costa Rica,2015,58767.05
Cote d'Ivoire,2015,182270.8
Croatia,2015,89589.79
Cuba,2015,57732.18
Curacao,2015,85.94772
Cyprus,2015,5857.732
Czech Republic,2015,142773.3
Denmark,2015,181410.8
Djibouti,2015,760.8995
Dominica,2015,117.062
Dominican Republic,2015,37352.98
Ecuador,2015,68348.95
"Egypt, Arab Rep.",2015,119103.6
El Salvador,2015,25172.23
Equatorial Guinea,2015,5277.3
Eritrea,2015,18744.96
Estonia,2015,31570.59
Ethiopia,2015,1574274.0
Faeroe Islands,2015,623.2519
Falkland Islands,2015,26.28797
Fiji,2015,7491.43
Finland,2015,418361.2
France,2015,760300.4
French Guyana,2015,2928.832
French Polynesia,2015,766.2069
Gabon,2015,162175.4
"Gambia, The",2015,5257.01
Georgia,2015,45194.73
Germany,2015,1183042.0
Ghana,2015,117256.0
Gibraltar,2015,0.0
Greece,2015,112744.2
Greenland,2015,1239.809
Grenada,2015,314.0524
Guadeloupe,2015,869.1707
Guam,2015,0.0
Guatemala,2015,273673.4
Guinea,2015,105240.5
Guinea-Bissau,2015,23673.55
Guyana,2015,6723.647
Haiti,2015,103983.6
Honduras,2015,102277.9
"Hong Kong SAR, China",2015,3173.745
Hungary,2015,110073.3
Iceland,2015,91392.87
India,2015,8011645.0
Indonesia,2015,2402254.0
"Iran, Islamic Rep.",2015,59942.46
Iraq,2015,5867.225
Ireland,2015,39051.66
Isle of Man,2015,95.54174
Israel,2015,18987.48
Italy,2015,778697.1
Jamaica,2015,13776.31
Japan,2015,664986.9
Jordan,2015,7400.644
Kazakhstan,2015,24725.24
Kenya,2015,475941.6
Kiribati,2015,25.75203
"Korea, Dem. Rep.",2015,63731.34
"Korea, Rep.",2015,143837.9
Kosovo,2015,11421.65
Kuwait,2015,0.0
Kyrgyz Republic,2015,32594.68
Lao PDR,2015,72479.65
Latvia,2015,58759.11
Lebanon,2015,7378.814
Lesotho,2015,29038.03
Liberia,2015,68916.25
Libya,2015,6350.789
Liechtenstein,2015,1814.258
Lithuania,2015,57858.64
Luxembourg,2015,13392.29
"Macao SAR, China",2015,2406.327
"Macedonia, FYR",2015,18886.42
Madagascar,2015,91950.46
Malawi,2015,50722.96
Malaysia,2015,99297.57
Maldives,2015,160.2282
Mali,2015,47816.79
Malta,2015,1026.089
Marshall Islands,2015,185.6301
Martinique,2015,438.3959
Mauritania,2015,13415.19
Mauritius,2015,3862.124
Mayotte,2015,332.8133
Mexico,2015,441721.1
"Micronesia, Fed. Sts.",2015,19.75967
Moldova,2015,13722.13
Monaco,2015,0.0
Mongolia,2015,4468.379
Montenegro,2015,11910.79
Montserrat,2015,0.0
Morocco,2015,68360.09
Mozambique,2015,376700.5
Myanmar,2015,449993.5
Namibia,2015,18868.63
Nepal,2015,412327.7
Netherlands,2015,107380.2
Netherlands Antilles,2015,
New Caledonia,2015,1586.183
New Zealand,2015,163270.9
Nicaragua,2015,50040.28
Niger,2015,89828.49
Nigeria,2015,4320767.0
Northern Mariana Islands,2015,0.0
Norway,2015,436883.3
Oman,2015,0.0
Pakistan,2015,1446248.0
Palau,2015,0.0
Panama,2015,30721.63
Papua New Guinea,2015,60749.46
Paraguay,2015,126351.8
Peru,2015,188380.4
Philippines,2015,328178.1
Poland,2015,302285.7
Portugal,2015,169816.1
Puerto Rico,2015,1156.599
Qatar,2015,0.0
Reunion,2015,6967.792
Romania,2015,211769.1
Russian Federation,2015,522370.1
Rwanda,2015,68929.6
Saint Pierre et Miquelon,2015,8.298344
Samoa,2015,1423.329
San Marino,2015,0.0
Sao Tome and Principe,2015,802.6961
Saudi Arabia,2015,285.306
Senegal,2015,48778.32
Serbia,2015,69936.12
Seychelles,2015,57.87324
Sierra Leone,2015,42555.34
Singapore,2015,3115.195
Sint Maarten (Dutch part),2015,3.8635
Slovak Republic,2015,50516.66
Slovenia,2015,40762.94
Solomon Islands,2015,3214.943
Somalia,2015,98912.04
South Africa,2015,504710.1
South Sudan,2015,6898.052
Spain,2015,513540.8
Sri Lanka,2015,219348.0
St. Helena,2015,12.408
St. Kitts and Nevis,2015,30.47271
St. Lucia,2015,81.31652
St. Martin (French part),2015,0.0
St. Vincent and the Grenadines,2015,140.9913
Sudan,2015,268611.1
Suriname,2015,6266.811
Swaziland,2015,23521.78
Sweden,2015,679811.9
Switzerland,2015,195365.5
Syrian Arab Republic,2015,1299.0
"Taiwan, China",2015,41598.43
Tajikistan,2015,44129.53
Tanzania,2015,804531.9
Thailand,2015,722010.9
Timor-Leste,2015,886.095
Togo,2015,65965.75
Tonga,2015,23.7621
Trinidad and Tobago,2015,488.5158
Tunisia,2015,39988.56
Turkey,2015,485424.7
Turkmenistan,2015,307.981
Turks and Caicos Islands,2015,6.782585
Tuvalu,2015,0.0
Uganda,2015,471009.0
Ukraine,2015,82440.89
United Arab Emirates,2015,2869.892
United Kingdom,2015,429157.5
United States,2015,5097931.0
Uruguay,2015,107022.2
Uzbekistan,2015,34727.39
Vanuatu,2015,873.3834
"Venezuela, RB",2015,195468.2
Vietnam,2015,800189.5
Virgin Islands (U.S.),2015,91.50184
West Bank and Gaza,2015,6701.55
Western Sahara,2015,0.0
"Yemen, Rep.",2015,2433.201
Zambia,2015,301679.8
Zimbabwe,2015,324422.6
